condition_index,dataset_index,lineage_count,log_volume,replica,sampling_protocol,target_function_mass,target_name,threshold,train_hard_exact_mass,unseen_agreement,unseen_target_accuracy
14,7,722,-1.627576768573523,0,uniform_random,0.0,parity2,0.68,0.0,0.9277490065696642,0.486053466796875
14,7,719,-1.7065830679535723,1,uniform_random,0.0,parity2,0.68,0.0,0.9293458539132288,0.48667689732142855
14,7,717,-1.6724383532338578,2,uniform_random,0.0,parity2,0.68,0.0,0.9343349337785806,0.48641531808035715
14,7,725,-1.676763657617239,3,uniform_random,0.0,parity2,0.68,0.0,0.9366814903990324,0.48592921665736605
15,7,759,-1.589226643126281,0,uniform_random,0.0,mux3,0.68,0.0,0.8573806680698889,0.509979248046875
15,7,774,-1.4955434673201797,1,uniform_random,0.0,mux3,0.68,0.0,0.863152091788833,0.5097438267299107
15,7,763,-1.5334913859776458,2,uniform_random,0.0,mux3,0.68,0.0,0.854778310294028,0.5112958635602679
15,7,757,-1.5643676605725463,3,uniform_random,0.0,mux3,0.68,0.0,0.8629194711289442,0.5086386544363839
16,0,353,-4.476892032667829,0,cell_balanced,0.0,parity2,0.68,0.0,0.5894273338235342,0.4871673583984375
16,0,343,-4.5603218106394845,1,cell_balanced,0.0,parity2,0.68,0.0,0.5887050795050958,0.4869624546595982
16,0,337,-4.647391728546024,2,cell_balanced,0.0,parity2,0.68,0.0,0.5951828417171361,0.48625401088169645
16,0,337,-4.631767534981498,3,cell_balanced,0.0,parity2,0.68,0.0,0.5946818542161002,0.4858616420200893
17,0,453,-3.0778837099098406,0,cell_balanced,0.0,mux3,0.68,0.0,0.5490845863863548,0.5890786307198661
17,0,487,-3.0274952997070734,1,cell_balanced,0.0,mux3,0.68,0.0,0.5514462814634548,0.5889936174665179
17,0,457,-3.0768389759238888,2,cell_balanced,0.0,mux3,0.68,0.0,0.5499101753668806,0.5935276576450893
17,0,464,-3.103549522533179,3,cell_balanced,0.0,mux3,0.68,0.0,0.5496946397800407,0.5935603550502232
18,1,306,-5.409402249627208,0,cell_balanced,0.0,parity2,0.68,0.0,0.6149681038596607,0.48637826102120535
18,1,299,-5.402526714383103,1,cell_balanced,0.0,parity2,0.68,0.0,0.6139218933842372,0.48672267368861605
18,1,285,-5.457721137556975,2,cell_balanced,0.0,parity2,0.68,0.0,0.6144931230685476,0.48642403738839285
18,1,285,-5.408637249928944,3,cell_balanced,0.0,parity2,0.68,0.0,0.6103527232285979,0.4863826206752232
19,1,544,-2.4987058602819214,0,cell_balanced,0.0,mux3,0.68,0.0,0.5336163124341643,0.5578417096819196
19,1,551,-2.519104813733414,1,cell_balanced,0.0,mux3,0.68,0.0,0.5339381302947966,0.5598253522600446
19,1,557,-2.4953289406124624,2,cell_balanced,0.0,mux3,0.68,0.0,0.5335109608730273,0.5597773960658482
19,1,540,-2.5600153453470393,3,cell_balanced,0.0,mux3,0.68,0.0,0.5326771871585542,0.5588487897600446
20,2,216,-7.566607796306065,0,cell_balanced,0.0,parity2,0.68,0.0,0.6533991249069031,0.48872811453683035
20,2,225,-7.45071283564137,1,cell_balanced,0.0,parity2,0.68,0.0,0.6564799158427894,0.4887847900390625
20,2,228,-7.519535671263601,2,cell_balanced,0.0,parity2,0.68,0.0,0.6586224334139628,0.48823111397879465
20,2,233,-7.456046280148189,3,cell_balanced,0.0,parity2,0.68,0.0,0.6571780014490665,0.4888065883091518
21,2,470,-2.825401385493811,0,cell_balanced,0.0,mux3,0.68,0.0,0.5387180340881582,0.5825980050223214
21,2,517,-2.785126356128977,1,cell_balanced,0.0,mux3,0.68,0.0,0.5382606772037367,0.5802786690848214
21,2,510,-2.8409808834007104,2,cell_balanced,0.0,mux3,0.68,0.0,0.5366891571711543,0.5804574148995536
21,2,487,-2.9308419664750787,3,cell_balanced,0.0,mux3,0.68,0.0,0.5398315178373785,0.5803941999162946
22,3,389,-3.9387054725698603,0,cell_balanced,0.0,parity2,0.68,0.0,0.5735191479923254,0.48535592215401785
22,3,364,-4.060038818548117,1,cell_balanced,0.0,parity2,0.68,0.0,0.5770974634114492,0.48530360630580355
22,3,372,-4.159194379483469,2,cell_balanced,0.0,parity2,0.68,0.0,0.5775500687628401,0.4849395751953125
22,3,382,-4.0061141106804135,3,cell_balanced,0.0,parity2,0.68,0.0,0.5785691671739512,0.48507908412388395
23,3,499,-2.821022108413361,0,cell_balanced,0.0,mux3,0.68,0.0,0.5397901234868699,0.5714961460658482
23,3,507,-2.7686299090265543,1,cell_balanced,0.0,mux3,0.68,0.0,0.539674022939984,0.5688868931361607
23,3,509,-2.773720359701422,2,cell_balanced,0.0,mux3,0.68,0.0,0.5405329258961558,0.5713566371372768
23,3,508,-2.7872071773800187,3,cell_balanced,0.0,mux3,0.68,0.0,0.5409492185455413,0.572601318359375
24,4,342,-4.374738225693498,0,cell_balanced,0.0,parity2,0.68,0.0,0.5852164745630312,0.48684474400111605
24,4,355,-4.2913735535855215,1,cell_balanced,0.0,parity2,0.68,0.0,0.5846358994161752,0.48618861607142855
24,4,349,-4.388378163541947,2,cell_balanced,0.0,parity2,0.68,0.0,0.58682194963421,0.485137939453125
24,4,351,-4.444758066933797,3,cell_balanced,0.0,parity2,0.68,0.0,0.5869586536461514,0.48617335728236605
